"נתוני שערים - הראל קרנות נאמנות בע""מ - הרל.NDX 100 ממ",,
תאריך,שער נעילה (באגורות), מחזור(אלפי ₪)
14/03/2021,12480,13.73
11/03/2021,12510,1883.95
10/03/2021,12450,1219.89
09/03/2021,12190,2324.43
08/03/2021,12090,4386.55
07/03/2021,12280,94.26
04/03/2021,12240,977.9
03/03/2021,12450,1547.45
02/03/2021,12770,233.89
01/03/2021,12610,1798.03
28/02/2021,12520,21.79
25/02/2021,12770,2489.65
24/02/2021,12480,1510.28
23/02/2021,12460,5196.46
22/02/2021,12900,689.4
21/02/2021,13140,13.79
18/02/2021,13060,307.43
17/02/2021,13170,918.46
16/02/2021,13360,1051.5
15/02/2021,13350,326.19
14/02/2021,13300,139.14
11/02/2021,13220,5898.81
10/02/2021,13280,2511.54
09/02/2021,13180,13800.31
08/02/2021,13170,2847.64
07/02/2021,13050,636.72
04/02/2021,12950,656.15
03/02/2021,13030,234.03
02/02/2021,12880,300.54
01/02/2021,12540,393.19
31/01/2021,12440,235.98
28/01/2021,12730,2304.23
27/01/2021,12770,3337.84
26/01/2021,12960,792.18
25/01/2021,13000,964.4
24/01/2021,12890,136.7
21/01/2021,12840,1328.16
20/01/2021,12630,162.85
19/01/2021,12420,919.96
18/01/2021,12320,257.72
17/01/2021,12390,475.01
14/01/2021,12510,511.91
13/01/2021,12390,2046.08
12/01/2021,12480,103.32
11/01/2021,12450,1325.83
10/01/2021,12560,145.08
07/01/2021,12280,717.04
06/01/2021,12160,1416.61
05/01/2021,12290,1921.82
04/01/2021,12420,975.6
03/01/2021,12390,114.07
31/12/2020,12410,980.04
30/12/2020,12430,2562.47
29/12/2020,12460,2727.94
28/12/2020,12370,433.11
27/12/2020,12290,187.5
24/12/2020,12280,718.83
23/12/2020,12250,742.19
22/12/2020,12270,765.69
21/12/2020,12150,1416.39
20/12/2020,12300,162.12
17/12/2020,12330,735.49
16/12/2020,12180,499.86
15/12/2020,12140,572.14
